t_sec,x_bin,y_bin,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
30,"[8,infinity)",<-2,"[0.98,1)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.99425000,4,3.97700000,0.02300000,0.00575000,-0.484140836454597301712536589852471046460117866669254129450196
30,"[8,infinity)",<-2,ask=1,429,1,0,428,0,0,0.00889553039021467805622626986141330357152429646662239336781970,1.00000000,428,428.00000000,0E-8,0E-8,-0.00889553039021467805622626986141330357152429646662239336781970
30,"[8,infinity)","[-2,0)",ask=0,0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[-2,0)","(0,0.90)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[-2,0)","[0.90,0.95)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.94100000,1,0.94100000,0.05900000,0.05900000,-0.734450685622762572644686990659235135454905747938657255997644
30,"[8,infinity)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[-2,0)","[0.98,1)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.99850000,2,1.99700000,0.00300000,0.00150000,-0.656119772493346908066213171022805867761678469589830388837810
30,"[8,infinity)","[-2,0)",ask=1,440,3,0,437,0,0,0.00871392366537055386689107855311581522181467436264374764321439,1.00000000,437,437.00000000,0E-8,0E-8,-0.00871392366537055386689107855311581522181467436264374764321439
30,"[8,infinity)","[0,2)",ask=0,0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[0,2)","(0,0.90)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)","[0,2)","[0.98,1)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.99900000,4,3.99600000,0.00400000,0.00100000,-0.488890836454597301712536589852471046460117866669254129450196
30,"[8,infinity)","[0,2)",ask=1,615,1,0,614,0,1E-62,0.00621754782857485109082089248260651443348733207630442269327707,1.00000000,614,614.00000000,0E-8,0E-8,-0.00621754782857485109082089248260651443348733207630442269327707
30,"[8,infinity)",>=2,ask=0,0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)",>=2,"(0,0.90)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)",>=2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)",>=2,"[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)",>=2,"[0.98,1)",1,1,0,0,,,,,0,0,0,,
30,"[8,infinity)",>=2,ask=1,616,7,0,609,0,0,0.00626827504145417742690671807111197841795724607887959489365358,1.00000000,609,609.00000000,0E-8,0E-8,-0.00626827504145417742690671807111197841795724607887959489365358
15,"[0,1)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
15,"[0,1)",<-2,"(0,0.90)",60,0,58,60,0.966666666666666666666666666666666666666666666666666666666667,0.886362257256914008242440738589332125056562332341141325389625,0.990810680743802127391789527308971816670754028491726745154715,0.0466833333333333333333333333333333333333333333333333333333333,2,2.80100000,-0.80100000,-0.01335000,-0.037494014077135460725122860642305150004087361825060078488048
15,"[0,1)",<-2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
15,"[0,1)",<-2,"[0.95,0.98)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.96000000,1,0.96000000,0.04000000,0.04000000,-0.753450685622762572644686990659235135454905747938657255997644
15,"[0,1)",<-2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.98000000,1,0.98000000,0.02000000,0.02000000,-0.773450685622762572644686990659235135454905747938657255997644
15,"[0,1)",<-2,ask=1,0,0,0,0,,,,,0,0,0,,
15,"[0,1)","[-2,0)",ask=0,0,0,0,0,,,,,0,0,0,,
15,"[0,1)","[-2,0)","(0,0.90)",125,0,99,125,0.792,0.712671919880726755389070640575173122499613982819000475409519,0.853915890193610597697044416171004907129090911032051257250065,0.19744000,26,24.68000000,1.32000000,0.01056000,-0.051355890193610597697044416171004907129090911032051257250065
15,"[0,1)","[-2,0)","[0.90,0.95)",14,0,3,14,0.214285714285714285714285714285714285714285714285714285714286,0.075713867126931825281250264689792498900596000422290639585996,0.475892305866002918432702153041222910105435401510432455143186,0.926428571428571428571428571428571428571428571428571428571429,11,12.97000000,-1.97000000,-0.140714285714285714285714285714285714285714285714285714285714,-0.402320877294574347004130724469794338676863972939003883714615
15,"[0,1)","[-2,0)","[0.95,0.98)",16,0,2,16,0.125,0.034977487743240464595820130995911566783344997213098451135723,0.360228272657586898702022141740463334052293733870060846621065,0.95750000,14,15.32000000,-1.32000000,-0.08250000,-0.317728272657586898702022141740463334052293733870060846621065
15,"[0,1)","[-2,0)","[0.98,1)",73,0,0,73,0,0,0.0499920079557311081622674826690519065143106383112955776086144,0.987205479452054794520547945205479452054794520547945205479452,73,72.06600000,0.93400000,0.0127945205479452054794520547945205479452054794520547945205479,-0.0371974874077859026828154278745313585691051588592407830880664
15,"[0,1)","[-2,0)",ask=1,124,0,1,124,0.00806451612903225806451612903225806451612903225806451612903226,0.0014250064581251703428228363848776555111172517352991002582783,0.0442679860544770758295843363191801914809738564341887748068771,1.00000000,123,124.00000000,-1.00000000,-0.00806451612903225806451612903225806451612903225806451612903226,-0.0442679860544770758295843363191801914809738564341887748068771
15,"[0,1)","[0,2)",ask=0,0,0,0,0,,,,,0,0,0,,
15,"[0,1)","[0,2)","(0,0.90)",15,0,8,15,0.533333333333333333333333333333333333333333333333333333333333,0.301169800254983958899851416330016847184720211837689657783119,0.751904646342626135173074348667782963017785511954302489908641,0.58400000,7,8.76000000,-1.76000000,-0.117333333333333333333333333333333333333333333333333333333333,-0.335904646342626135173074348667782963017785511954302489908641
15,"[0,1)","[0,2)","[0.90,0.95)",12,0,0,12,0,0,0.242494006655240850743536740887323444981368621780736059953412,0.92250000,12,11.07000000,0.93000000,0.07750000,-0.164994006655240850743536740887323444981368621780736059953412
15,"[0,1)","[0,2)","[0.95,0.98)",13,0,0,13,0,1E-60,0.228095372354198371443420042369827223554730318588668470106495,0.966923076923076923076923076923076923076923076923076923076923,13,12.57000000,0.43000000,0.0330769230769230769230769230769230769230769230769230769230769,-0.195018449277275294520343119292904146631653395511745393183418
15,"[0,1)","[0,2)","[0.98,1)",76,0,0,76,0,0,0.0481135850651373179806680027772221016786979542922821152437366,0.987763157894736842105263157894736842105263157894736842105263,76,75.07000000,0.93000000,0.0122368421052631578947368421052631578947368421052631578947368,-0.0358767429598741600859311606719589437839611121870189573489996
15,"[0,1)","[0,2)",ask=1,280,0,0,280,0,0,0.0135338186206294064480194391271503378468572302256404029940121,1.00000000,280,280.00000000,0E-8,0E-8,-0.0135338186206294064480194391271503378468572302256404029940121
15,"[0,1)",>=2,ask=0,0,0,0,0,,,,,0,0,0,,
15,"[0,1)",>=2,"(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.86000000,1,0.86000000,0.14000000,0.14000000,-0.653450685622762572644686990659235135454905747938657255997644
15,"[0,1)",>=2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
15,"[0,1)",>=2,"[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
15,"[0,1)",>=2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,1,0.99000000,0.01000000,0.01000000,-0.783450685622762572644686990659235135454905747938657255997644
15,"[0,1)",>=2,ask=1,64,1,0,63,0,0,0.0574711995888517149615499543750721737797381671477228770828911,1.00000000,63,63.00000000,0E-8,0E-8,-0.0574711995888517149615499543750721737797381671477228770828911
15,"[1,2)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
15,"[1,2)",<-2,"(0,0.90)",39,0,26,39,0.666666666666666666666666666666666666666666666666666666666667,0.509773943993459931267594700795555673326517774929928374176701,0.793670438104016264283185959825642476801201378772672624048737,0.323358974358974358974358974358974358974358974358974358974359,13,12.61100000,0.38900000,0.00997435897435897435897435897435897435897435897435897435897436,-0.117029412462990623257544934184616835775560353131646983023096
15,"[1,2)",<-2,"[0.90,0.95)",3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888,0.916666666666666666666666666666666666666666666666666666666667,3,2.75000000,0.25000000,0.0833333333333333333333333333333333333333333333333333333333333,-0.478163698421712133451205430061477613350464636117555940804555
15,"[1,2)",<-2,"[0.95,0.98)",7,0,1,7,0.142857142857142857142857142857142857142857142857142857142857,0.025679624344743560607128914884008804252331158419792918804746,0.513127829274318868525875970782987437609875590583912171444036,0.965714285714285714285714285714285714285714285714285714285714,6,6.76000000,-0.76000000,-0.108571428571428571428571428571428571428571428571428571428571,-0.478842114988604582811590256497273151895589876298197885729750
15,"[1,2)",<-2,"[0.98,1)",5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326,0.98780000,5,4.93900000,0.06100000,0.01220000,-0.422282464783174761084782871525556271809021898883564142795326
15,"[1,2)",<-2,ask=1,12,0,0,12,0,0,0.242494006655240850743536740887323444981368621780736059953412,1.00000000,12,12.00000000,0E-8,0E-8,-0.242494006655240850743536740887323444981368621780736059953412
15,"[1,2)","[-2,0)",ask=0,0,0,0,0,,,,,0,0,0,,
15,"[1,2)","[-2,0)","(0,0.90)",4,0,3,4,0.75,0.300641842582401915564942608623946450489900204040067862450985,0.954412739190299433578789096449818026280040862625305072823917,0.44000000,1,1.76000000,-0.76000000,-0.19000000,-0.394412739190299433578789096449818026280040862625305072823917
15,"[1,2)","[-2,0)","[0.90,0.95)",3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888,0.936666666666666666666666666666666666666666666666666666666667,3,2.81000000,0.19000000,0.0633333333333333333333333333333333333333333333333333333333333,-0.498163698421712133451205430061477613350464636117555940804555
15,"[1,2)","[-2,0)","[0.95,0.98)",3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888,0.963333333333333333333333333333333333333333333333333333333333,3,2.89000000,0.11000000,0.0366666666666666666666666666666666666666666666666666666666667,-0.524830365088378800117872096728144280017131302784222607471221
15,"[1,2)","[-2,0)","[0.98,1)",12,0,0,12,0,0,0.242494006655240850743536740887323444981368621780736059953412,0.98900000,12,11.86800000,0.13200000,0.01100000,-0.231494006655240850743536740887323444981368621780736059953412
15,"[1,2)","[-2,0)",ask=1,251,0,0,251,0,1E-62,0.0150739163025941033672464799338140610455255620677944295636312,1.00000000,251,251.00000000,0E-8,0E-8,-0.0150739163025941033672464799338140610455255620677944295636312
15,"[1,2)","[0,2)",ask=0,0,0,0,0,,,,,0,0,0,,
15,"[1,2)","[0,2)","(0,0.90)",0,0,0,0,,,,,0,0,0,,
15,"[1,2)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
15,"[1,2)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
15,"[1,2)","[0,2)","[0.98,1)",2,0,1,2,0.5,0.094531205734230729793326600900495328768115141516490687279156,0.905468794265769270206673399099504671231884858483509312720844,0.99000000,1,1.98000000,-0.98000000,-0.49000000,-0.895468794265769270206673399099504671231884858483509312720844
15,"[1,2)","[0,2)",ask=1,352,1,0,351,0,1E-62,0.0108258455296095001684771439477139710040313637867974526803798,1.00000000,351,351.00000000,0E-8,0E-8,-0.0108258455296095001684771439477139710040313637867974526803798
15,"[1,2)",>=2,ask=0,0,0,0,0,,,,,0,0,0,,
15,"[1,2)",>=2,"(0,0.90)",0,0,0,0,,,,,0,0,0,,
15,"[1,2)",>=2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
15,"[1,2)",>=2,"[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
15,"[1,2)",>=2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,1,0.99000000,0.01000000,0.01000000,-0.783450685622762572644686990659235135454905747938657255997644
15,"[1,2)",>=2,ask=1,84,1,0,83,0,1E-61,0.0442353096419738403383844233759625755395690083553910862604569,1.00000000,83,83.00000000,0E-8,0E-8,-0.0442353096419738403383844233759625755395690083553910862604569
15,"[2,4)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
15,"[2,4)",<-2,"(0,0.90)",12,0,10,12,0.833333333333333333333333333333333333333333333333333333333333,0.551969137747026611398718173219957040960783934933851618492523,0.953034857816146154772257332855160662384970317212324341538535,0.270833333333333333333333333333333333333333333333333333333333,2,3.25000000,-1.25000000,-0.104166666666666666666666666666666666666666666666666666666667,-0.223868191149479488105590666188493995718303650545657674871868
