t_sec,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
10,"(0,0.90)",166,0,139,166,0.837349397590361445783132530120481927710843373493975903614458,0.773695389922265587059653619314960498980602317311968073735850,0.885743128668423159681779277142534645176304539567254705699534,0.183891566265060240963855421686746987951807228915662650602410,27,30.52600000,-3.52600000,-0.0212409638554216867469879518072289156626506024096385542168675,-0.069634694933483400645634698829281633128111768482917356301944
10,"[0.90,0.95)",13,0,1,13,0.0769230769230769230769230769230769230769230769230769230769231,0.013710421242556579808253714622779269798387965952631085614768,0.333139509210995888336178628920920688594076149776242235244574,0.923076923076923076923076923076923076923076923076923076923077,12,12.00000000,0E-8,0E-8,-0.256216432287918965259255551997843765517153072853165312167651
10,"[0.95,0.98)",25,0,1,25,0.04,0.0070962335019872584745440387132685775454577814223994890371650,0.195440637361937339723711135221356989785685565203184224284701,0.96280000,24,24.07000000,-0.07000000,-0.00280000,-0.158240637361937339723711135221356989785685565203184224284701
10,"[0.98,1)",94,0,0,94,0,0,0.0392620762915447323564048012803787854219201205460401455101432,0.988446808510638297872340425531914893617021276595744680851064,94,92.91400000,1.08600000,0.0115531914893617021276595744680851063829787234042553191489362,-0.0277088848021830302287452268122936790389413971417848263612072
10,ask=1,6707,25,1,6682,0.000149655791679137982639928165219994013768332834480694402873391,0.000026418410518184754281132976598938147152769418622014574691579,0.000847287443363144265685695096055977721214034832745063128257429,1.00000000,6681,6682.00000000,-1.00000000,-0.000149655791679137982639928165219994013768332834480694402873391,-0.000847287443363144265685695096055977721214034832745063128257429
5,ask=0,0,0,0,0,,,,,0,0,0,,
5,"(0,0.90)",97,0,81,97,0.835051546391752577319587628865979381443298969072164948453608,0.748735396051554903662950555350955814100877581480260033258614,0.895840761018686333376056214592025136508518868388620013430210,0.160309278350515463917525773195876288659793814432989690721649,16,15.55000000,0.45000000,0.00463917525773195876288659793814432989690721649484536082474227,-0.056150039369201797293581987787901425168312682821609704151859
5,"[0.90,0.95)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.92500000,2,1.85000000,0.15000000,0.07500000,-0.582619772493346908066213171022805867761678469589830388837810
5,"[0.95,0.98)",5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326,0.95800000,5,4.79000000,0.21000000,0.04200000,-0.392482464783174761084782871525556271809021898883564142795326
5,"[0.98,1)",27,0,0,27,0,1E-61,0.124555029741867063560897531223174706536906133650947916372170,0.988259259259259259259259259259259259259259259259259259259259,27,26.68300000,0.31700000,0.0117407407407407407407407407407407407407407407407407407407407,-0.112814289001126322820156790482433965796165392910207175631429
5,ask=1,6940,26,0,6914,0,0,0.000555297319772487302228790185085242117581998255639430107440128,1.00000000,6914,6914.00000000,0E-8,0E-8,-0.000555297319772487302228790185085242117581998255639430107440128
3,ask=0,0,0,0,0,,,,,0,0,0,,
3,"(0,0.90)",74,0,60,74,0.810810810810810810810810810810810810810810810810810810810811,0.707124427393916306894925079138003430257959594167575589046784,0.883820304332654519303462634131604271070670891836996244749794,0.15500000,14,11.47000000,2.53000000,0.0341891891891891891891891891891891891891891891891891891891892,-0.038820304332654519303462634131604271070670891836996244749794
3,"[0.90,0.95)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.91000000,1,0.91000000,0.09000000,0.09000000,-0.703450685622762572644686990659235135454905747938657255997644
3,"[0.95,0.98)",5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326,0.96200000,5,4.81000000,0.19000000,0.03800000,-0.396482464783174761084782871525556271809021898883564142795326
3,"[0.98,1)",18,0,1,18,0.0555555555555555555555555555555555555555555555555555555555556,0.009875190978303082313508634846031297156082580064912900004554,0.257573007818725922397388490196938202575910671831530361102204,0.991888888888888888888888888888888888888888888888888888888889,17,17.85400000,-0.85400000,-0.0474444444444444444444444444444444444444444444444444444444444,-0.249461896707614811286277379085827091464799560720419249991093
3,ask=1,7001,25,0,6976,0,0,0.000550364767360084628432714644024662940634482512941294492243671,1.00000000,6976,6976.00000000,0E-8,0E-8,-0.000550364767360084628432714644024662940634482512941294492243671
