panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
primary,15,raw_twap,"[8,infinity)",>=2,138,0,0,138,0
primary,15,projected_close,"[0,1)",<-2,5,0,1,5,0.2
primary,15,projected_close,"[0,1)","[-2,0)",107,0,5,107,0.046728971962616822429906542056074766355140186915887850467289719626168224299065421
primary,15,projected_close,"[0,1)","[0,2)",127,0,6,127,0.047244094488188976377952755905511811023622047244094488188976377952755905511811024
primary,15,projected_close,"[0,1)",>=2,9,0,0,9,0
primary,15,projected_close,"[1,2)",<-2,11,0,0,11,0
primary,15,projected_close,"[1,2)","[-2,0)",118,0,0,118,0
primary,15,projected_close,"[1,2)","[0,2)",116,0,0,116,0
primary,15,projected_close,"[1,2)",>=2,6,0,0,6,0
primary,15,projected_close,"[2,4)",<-2,17,0,0,17,0
primary,15,projected_close,"[2,4)","[-2,0)",161,0,0,161,0
primary,15,projected_close,"[2,4)","[0,2)",204,0,0,204,0
primary,15,projected_close,"[2,4)",>=2,13,0,0,13,0
primary,15,projected_close,"[4,8)",<-2,21,0,0,21,0
primary,15,projected_close,"[4,8)","[-2,0)",191,0,0,191,0
primary,15,projected_close,"[4,8)","[0,2)",252,0,0,252,0
primary,15,projected_close,"[4,8)",>=2,37,0,0,37,0
primary,15,projected_close,"[8,infinity)",<-2,41,0,0,41,0
primary,15,projected_close,"[8,infinity)","[-2,0)",159,0,0,159,0
primary,15,projected_close,"[8,infinity)","[0,2)",248,0,0,248,0
primary,15,projected_close,"[8,infinity)",>=2,82,0,0,82,0
primary,10,raw_twap,"[0,1)",<-2,23,0,21,23,0.91304347826086956521739130434782608695652173913043478260869565217391304347826087
primary,10,raw_twap,"[0,1)","[-2,0)",92,0,15,92,0.16304347826086956521739130434782608695652173913043478260869565217391304347826087
primary,10,raw_twap,"[0,1)","[0,2)",125,0,1,125,0.008
primary,10,raw_twap,"[0,1)",>=2,18,0,0,18,0
primary,10,raw_twap,"[1,2)",<-2,20,0,5,20,0.25
primary,10,raw_twap,"[1,2)","[-2,0)",97,0,1,97,0.010309278350515463917525773195876288659793814432989690721649484536082474226804124
primary,10,raw_twap,"[1,2)","[0,2)",110,0,0,110,0
primary,10,raw_twap,"[1,2)",>=2,23,0,0,23,0
primary,10,raw_twap,"[2,4)",<-2,46,0,0,46,0
primary,10,raw_twap,"[2,4)","[-2,0)",143,0,0,143,0
primary,10,raw_twap,"[2,4)","[0,2)",165,0,0,165,0
primary,10,raw_twap,"[2,4)",>=2,51,0,0,51,0
primary,10,raw_twap,"[4,8)",<-2,52,0,0,52,0
primary,10,raw_twap,"[4,8)","[-2,0)",163,0,0,163,0
primary,10,raw_twap,"[4,8)","[0,2)",199,0,0,199,0
primary,10,raw_twap,"[4,8)",>=2,79,0,0,79,0
primary,10,raw_twap,"[8,infinity)",<-2,76,0,0,76,0
