t_sec,x_bin,y_bin,full_N,full_U,full_L,full_resolved,full_loss_rate,full_wilson_95_low,full_wilson_95_high,matched_N,matched_U,matched_L,matched_resolved,matched_loss_rate,matched_wilson_95_low,matched_wilson_95_high,matched_ask_eq_0_N,matched_ask_eq_1_N,median_bid,median_ask,ask_available_N,bid_available_N,ask_only_N,bid_only_N,paired_quote_N,crossed_quote_N,neither_available_N,ask_available_eq_0_N,ask_available_eq_1_N,excluded_no_quote_row_N,excluded_token_mismatch_N,excluded_quote_sample_stale_N,excluded_quote_received_stale_N,excluded_ask_price_missing_N,excluded_ask_price_invalid_N,excluded_ask_source_clock_missing_or_invalid_N,excluded_ask_source_age_N,excluded_ask_received_clock_missing_or_invalid_N,excluded_ask_received_age_N,excluded_bid_price_missing_N,excluded_bid_price_invalid_N,excluded_bid_source_clock_missing_or_invalid_N,excluded_bid_source_age_N,excluded_bid_received_clock_missing_or_invalid_N,excluded_bid_received_age_N,excluded_crossed_quote_N
90,"[4,8)","[-2,0)",515,2,55,513,0.107212475633528265107212475633528265107212475633528265107212,0.0832999520573266691114286644757951185689939428681100338904929,0.136963838468403420816242143000428732984952008121172409101835,398,2,36,396,0.0909090909090909090909090909090909090909090909090909090909091,0.0663885438250849149074419699340021049613827636875353019256809,0.123290282988881500314426640959081623291986596351648544332270,0,30,0.94000000,0.95000000,398,398,0,0,398,0,117,0,30,18,18,6,9,18,0,18,99,18,9,18,0,18,99,18,9,0
90,"[4,8)","[0,2)",675,0,20,675,0.0296296296296296296296296296296296296296296296296296296296296,0.0192611703593321244302785045802439701781186066050422495457304,0.0453215952496761408269806190310028544794519496756822290394192,599,0,17,599,0.0283806343906510851419031719532554257095158597662771285475793,0.0177937198488329097987846870541345626423688331345672177181730,0.0449781055905144561869822300327942087859337344410380387556638,0,139,0.97000000,0.98000000,599,599,0,0,599,0,76,0,139,21,21,1,5,21,0,21,55,21,5,21,0,21,55,21,5,0
90,"[4,8)",>=2,363,1,7,362,0.0193370165745856353591160220994475138121546961325966850828729,0.0093977339903647478802448846138855106907287665021579686767322,0.0393705463412489640870321236637115993357719585614072764644300,299,1,4,298,0.0134228187919463087248322147651006711409395973154362416107383,0.0052319214083423803682951072923951390972156658508460454475320,0.0339988021210201789448690709740717246569095870793258797122072,0,116,0.98000000,0.99000000,299,299,0,0,299,0,64,0,116,16,16,4,6,16,0,16,48,16,6,16,0,16,48,16,6,0
90,"[8,infinity)",<-2,368,4,47,364,0.129120879120879120879120879120879120879120879120879120879121,0.0985073862565878448699626711665479051106484836611390365382008,0.167480735730464620519141538028272648546860171799881797230939,282,4,32,278,0.115107913669064748201438848920863309352517985611510791366906,0.0827263963883188401281342426037165803660817098632712493704378,0.157981479254116225779347494175289194204432382818202343875088,0,76,0.95450000,0.96000000,282,282,0,0,282,0,86,0,76,19,19,4,4,19,0,19,67,19,4,19,0,19,67,19,4,0
90,"[8,infinity)","[-2,0)",374,3,3,371,0.00808625336927223719676549865229110512129380053908355795148248,0.0027537908626446688935063837705621792091767110087505203503069,0.0235011993181554731251612525965734009876715367006270025998255,342,3,2,339,0.00589970501474926253687315634218289085545722713864306784660767,0.00161940570183765310276383685799609425934685553237240629912202,0.0212525621391205877178526127729081999208590941676138709884576,0,168,0.99000000,0.99900000,342,342,0,0,342,0,32,0,168,16,16,2,3,16,0,16,16,16,3,16,0,16,16,16,3,0
90,"[8,infinity)","[0,2)",506,4,9,502,0.0179282868525896414342629482071713147410358565737051792828685,0.0094602398149782246363910307524946304899760124058435814141583,0.0337182273506328050239794427372609288285317600105276862847689,462,4,7,458,0.0152838427947598253275109170305676855895196506550218340611354,0.0074227855422682481767755817819363992706169694660463508494334,0.0312083474579003532709383979010729585459736419388812106167356,0,310,0.99000000,1.00000000,462,462,0,0,462,0,44,0,310,21,21,1,1,21,0,21,23,21,1,21,0,21,23,21,1,0
90,"[8,infinity)",>=2,636,3,4,633,0.00631911532385466034755134281200631911532385466034755134281201,0.00246004390918778132149794990271788518209092762586061331619217,0.0161340012125324529209909639225112958377625639799755278538588,595,3,4,592,0.00675675675675675675675675675675675675675675675675675675675676,0.00263061630140836534035018309637733583484898919611569546015953,0.0172428897217056815477770978069926765663325988854375693740125,0,469,0.99000000,1.00000000,595,595,0,0,595,0,41,0,469,20,20,4,5,20,0,20,21,20,5,20,0,20,21,20,5,0
60,"[0,1)",<-2,119,0,106,119,0.890756302521008403361344537815126050420168067226890756302521,0.822035805061349930370901943365193407976254429700472430824607,0.935037587690747772246287402323806680430588051651845840472707,76,0,69,76,0.907894736842105263157894736842105263157894736842105263157895,0.821872921510637747394620762343419119748278876701070496384918,0.954665995936223914252729024864636534145414897428909883284658,0,0,0.08000000,0.09500000,76,76,0,0,76,0,43,0,0,1,1,3,8,1,0,1,42,1,8,1,0,1,42,1,8,0
60,"[0,1)","[-2,0)",451,0,219,451,0.485587583148558758314855875831485587583148558758314855875831,0.439777967665864470110852595003259676432176893789564208336342,0.531640644802519132758852528446409583764149719412577228911916,380,0,175,380,0.460526315789473684210526315789473684210526315789473684210526,0.411056099929292527751858738425425897970077234905294470223003,0.510786631462539594706146666125533022782910826138836901960355,0,0,0.55000000,0.56500000,380,380,0,0,380,0,71,0,0,4,4,0,4,4,0,4,67,4,4,4,0,4,67,4,4,0
60,"[0,1)","[0,2)",459,2,57,457,0.124726477024070021881838074398249452954048140043763676148796,0.0975264998738651755212017745703806244929439017206792786647516,0.158182826110506186056812994507634151446604097603138469365044,380,1,46,379,0.121372031662269129287598944591029023746701846965699208443272,0.0922398307666004489638192974739927626827052680633041749639718,0.158102593264287993598533648658372648528543126926090718773642,0,1,0.87000000,0.89000000,380,380,0,0,380,0,79,0,1,2,2,2,10,2,0,2,77,2,10,2,0,2,77,2,10,0
