t_sec,x_bin,y_bin,ask_band,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high,median_bid,median_ask,ask_eq_0_N,ask_eq_1_N
15,"[4,8)",>=2,ask=1,281,4,0,277,0,0,0.0136783893547096997757671775033450724802232840224746227545337,0.99000000,1.00000000,0,281
15,"[8,infinity)",<-2,ask=0,0,0,0,0,,,,,,0,0
15,"[8,infinity)",<-2,"(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.82000000,0.83000000,0,0
15,"[8,infinity)",<-2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[8,infinity)",<-2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[8,infinity)",<-2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,0.99900000,0,0
15,"[8,infinity)",<-2,ask=1,415,0,0,415,0,0,0.00917162983700391547891131623196214836686327148933285271983186,0.99000000,1.00000000,0,415
15,"[8,infinity)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
15,"[8,infinity)","[-2,0)","(0,0.90)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[-2,0)","[0.98,1)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.99300000,0.99900000,0,0
15,"[8,infinity)","[-2,0)",ask=1,495,4,0,491,0,0,0.00776300924714167533109045294696866912012572267289247241714398,0.99000000,1.00000000,0,495
15,"[8,infinity)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
15,"[8,infinity)","[0,2)","(0,0.90)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[0,2)","[0.98,1)",0,0,0,0,,,,,,0,0
15,"[8,infinity)","[0,2)",ask=1,656,5,0,651,0,1E-62,0.00586624253695271420798423029590642516515369293931305891939739,0.99000000,1.00000000,0,656
15,"[8,infinity)",>=2,ask=0,0,0,0,0,,,,,,0,0
15,"[8,infinity)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
15,"[8,infinity)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[8,infinity)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[8,infinity)",>=2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99300000,0.99900000,0,0
15,"[8,infinity)",>=2,ask=1,625,4,0,621,0,0,0.00614789362399923350887014044159076866954948843877231671277690,0.99000000,1.00000000,0,625
10,"[0,1)",<-2,ask=0,0,0,0,0,,,,,,0,0
10,"[0,1)",<-2,"(0,0.90)",55,0,54,55,0.981818181818181818181818181818181818181818181818181818181818,0.903942239378376034301437808928975986716732755929722825880544,0.996783219545158926234224255187218388756211130937127308523186,0E-8,0.01000000,0,0
10,"[0,1)",<-2,"[0.90,0.95)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.92000000,0.93000000,0,0
10,"[0,1)",<-2,"[0.95,0.98)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.95500000,0.96500000,0,0
10,"[0,1)",<-2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.97000000,0.98000000,0,0
10,"[0,1)",<-2,ask=1,2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.99000000,1.00000000,0,2
10,"[0,1)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
10,"[0,1)","[-2,0)","(0,0.90)",83,0,72,83,0.867469879518072289156626506024096385542168674698795180722892,0.778072536154582226794635995080748950326569297880236067852460,0.924356935072400854402454970871856867650373961039295784413962,0.02000000,0.03000000,0,0
10,"[0,1)","[-2,0)","[0.90,0.95)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.91000000,0.92500000,0,0
10,"[0,1)","[-2,0)","[0.95,0.98)",12,0,1,12,0.0833333333333333333333333333333333333333333333333333333333333,0.014865094404917114752602291403112818736709754550808213613698,0.353879911141116927533678326002990052081097430266471836347478,0.95000000,0.97000000,0,0
10,"[0,1)","[-2,0)","[0.98,1)",41,0,0,41,0,0,0.0856675701844318594351844311280687423499582709533817091149619,0.98000000,0.99000000,0,0
10,"[0,1)","[-2,0)",ask=1,205,0,0,205,0,1E-62,0.0183941389913020202620923022151250515273807052441863037780996,0.99000000,1.00000000,0,205
10,"[0,1)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
10,"[0,1)","[0,2)","(0,0.90)",12,0,3,12,0.25,0.088941668394054751787482659745219961573184556826760770101589,0.532305334933565673584285710698441760917499754063607259875117,0.68000000,0.71500000,0,0
10,"[0,1)","[0,2)","[0.90,0.95)",3,0,1,3,0.333333333333333333333333333333333333333333333333333333333333,0.061491944720396241873444442939187390780210775328990142673567,0.792340399197952247054735144859082924781055214487972948705729,0.92000000,0.94000000,0,0
10,"[0,1)","[0,2)","[0.95,0.98)",6,0,0,6,0,0,0.390334287902165324898707055142237608185625673736798285240772,0.94500000,0.96000000,0,0
10,"[0,1)","[0,2)","[0.98,1)",36,0,0,36,0,0,0.0964186285944636615382445947927992309228324969090787481472514,0.98000000,0.99000000,0,0
10,"[0,1)","[0,2)",ask=1,349,1,0,348,0,0,0.0109181528338643399668207913748969013550996062983162687068331,0.99000000,1.00000000,0,349
10,"[0,1)",>=2,ask=0,0,0,0,0,,,,,,0,0
10,"[0,1)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[0,1)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[0,1)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[0,1)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
10,"[0,1)",>=2,ask=1,62,0,0,62,0,0,0.0583440721013724791893274262008387953817748151642297448820570,0.99000000,1.00000000,0,62
10,"[1,2)",<-2,ask=0,0,0,0,0,,,,,,0,0
10,"[1,2)",<-2,"(0,0.90)",12,0,9,12,0.75,0.467694665066434326415714289301558239082500245936392740124883,0.911058331605945248212517340254780038426815443173239229898411,0.16000000,0.18000000,0,0
10,"[1,2)",<-2,"[0.90,0.95)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.90000000,0.91000000,0,0
10,"[1,2)",<-2,"[0.95,0.98)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.95000000,0.96500000,0,0
10,"[1,2)",<-2,"[0.98,1)",5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326,0.98000000,0.99000000,0,0
10,"[1,2)",<-2,ask=1,29,0,0,29,0,0,0.116969798499740742321570618566042766673886847202390383923475,0.99000000,1.00000000,0,29
10,"[1,2)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
