utc_market_start_date,t_sec,subset,all_market_rows,N,U,n,projected_correct,projected_errors,projected_accuracy,projected_ties,twap_correct,twap_errors,twap_accuracy,twap_ties,spot_correct,spot_errors,spot_accuracy,spot_ties,both_correct,both_wrong,projected_improves_twap_count,projected_worsens_twap_count
2026-09-03,5,fresh_3s,288,274,0,274,274,0,1,0,270,4,0.98540145985401459854014598540145985401459854014598540145985401459854014598540146,0,256,18,0.93430656934306569343065693430656934306569343065693430656934306569343065693430657,0,270,0,4,0
2026-09-03,3,primary_600s,288,276,0,276,276,0,1,0,274,2,0.99275362318840579710144927536231884057971014492753623188405797101449275362318841,0,257,19,0.93115942028985507246376811594202898550724637681159420289855072463768115942028986,0,274,0,2,0
2026-09-03,3,fresh_3s,288,275,0,275,275,0,1,0,273,2,0.99272727272727272727272727272727272727272727272727272727272727272727272727272727,0,256,19,0.93090909090909090909090909090909090909090909090909090909090909090909090909090909,0,273,0,2,0
2026-09-04,60,primary_600s,288,273,0,273,256,17,0.93772893772893772893772893772893772893772893772893772893772893772893772893772894,0,242,31,0.88644688644688644688644688644688644688644688644688644688644688644688644688644689,0,256,17,0.93772893772893772893772893772893772893772893772893772893772893772893772893772894,0,236,11,20,6
2026-09-04,60,fresh_3s,288,271,0,271,254,17,0.93726937269372693726937269372693726937269372693726937269372693726937269372693727,0,240,31,0.88560885608856088560885608856088560885608856088560885608856088560885608856088561,0,254,17,0.93726937269372693726937269372693726937269372693726937269372693726937269372693727,0,234,11,20,6
2026-09-04,30,primary_600s,288,273,0,273,270,3,0.98901098901098901098901098901098901098901098901098901098901098901098901098901099,0,262,11,0.95970695970695970695970695970695970695970695970695970695970695970695970695970696,0,265,8,0.97069597069597069597069597069597069597069597069597069597069597069597069597069597,0,260,1,10,2
2026-09-04,30,fresh_3s,288,266,0,266,263,3,0.98872180451127819548872180451127819548872180451127819548872180451127819548872180,0,256,10,0.96240601503759398496240601503759398496240601503759398496240601503759398496240602,0,258,8,0.96992481203007518796992481203007518796992481203007518796992481203007518796992481,0,254,1,9,2
2026-09-04,15,primary_600s,288,273,0,273,272,1,0.99633699633699633699633699633699633699633699633699633699633699633699633699633700,0,267,6,0.97802197802197802197802197802197802197802197802197802197802197802197802197802198,0,261,12,0.95604395604395604395604395604395604395604395604395604395604395604395604395604396,0,266,0,6,1
2026-09-04,15,fresh_3s,288,269,0,269,268,1,0.99628252788104089219330855018587360594795539033457249070631970260223048327137546,0,263,6,0.97769516728624535315985130111524163568773234200743494423791821561338289962825279,0,257,12,0.95539033457249070631970260223048327137546468401486988847583643122676579925650558,0,262,0,6,1
2026-09-04,10,primary_600s,288,273,0,273,272,1,0.99633699633699633699633699633699633699633699633699633699633699633699633699633700,0,271,2,0.99267399267399267399267399267399267399267399267399267399267399267399267399267399,0,258,15,0.94505494505494505494505494505494505494505494505494505494505494505494505494505495,0,270,0,2,1
