t_sec,period,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
90,post,"[4,8)",>=2,23,0,1,23,0.0434782608695652173913043478260869565217391304347826086956522,0.007716666143453142247303765539798097228280361609254735613374,0.209911550702588754124562226177180458038003630962651660225830
90,post,"[8,infinity)",<-2,31,0,4,31,0.129032258064516129032258064516129032258064516129032258064516,0.051342843746291461952235157829154655711202228149003709725199,0.288524062563064241048812919213108129766146296525404111640261
90,post,"[8,infinity)","[-2,0)",26,0,0,26,0,0,0.128728921859215295149407654933370962769244819176962274963284
90,post,"[8,infinity)","[0,2)",37,0,0,37,0,0,0.0940578258372024807966737008331431353361241242445789105818134
90,post,"[8,infinity)",>=2,43,0,0,43,0,0,0.0820098032257911641526771184451815481418608757099502151814816
60,pre,"[0,1)",<-2,109,0,97,109,0.889908256880733944954128440366972477064220183486238532110092,0.817377280073743878629500087408285553268255750582513935998564,0.935891960578892492186569082181253407477837789693717754627714
60,pre,"[0,1)","[-2,0)",383,0,190,383,0.496083550913838120104438642297650130548302872062663185378590,0.446298464612168955416252322647521968433847863024255942160700,0.545946420387630050924057520576037645456875682095922118166074
60,pre,"[0,1)","[0,2)",385,2,47,383,0.122715404699738903394255874673629242819843342036553524804178,0.0935515012594406780857376156694597496154291445772426308349185,0.159372420387863599364110614866783055190939035333243847311038
60,pre,"[0,1)",>=2,78,0,5,78,0.0641025641025641025641025641025641025641025641025641025641026,0.0276893153737909411528373740897976395167410393267127547137672,0.141435954631711765637004214997212232470713426283404249236593
60,pre,"[1,2)",<-2,90,1,72,89,0.808988764044943820224719101123595505617977528089887640449438,0.715227317828824006707446057645171866853306642134327520804278,0.877180435115064891867287898658535328809142513344487147175242
60,pre,"[1,2)","[-2,0)",299,1,85,298,0.285234899328859060402684563758389261744966442953020134228188,0.236956909437625894522557384074699536599979087461793117674505,0.338979409913265166139804735987741010160462403486696559637377
60,pre,"[1,2)","[0,2)",341,0,19,341,0.0557184750733137829912023460410557184750733137829912023460411,0.0359573069201972361637626627954231735488785788121330569253083,0.0853780422683417961616455469110844580043270046983355528852255
