t_sec,leader,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
90,Down,"[4,8)",<-2,133,1,49,132,0.371212121212121212121212121212121212121212121212121212121212,0.293527815228606205765210058353027926791782562945636112210105,0.456180408643762642135059585519490497796078557366454758392337
90,Down,"[4,8)","[-2,0)",240,0,28,240,0.116666666666666666666666666666666666666666666666666666666667,0.0819625898410071690446877983752167975462049022490067311224366,0.163448748780854586765331475836627820926841691901676183170981
90,Down,"[4,8)","[0,2)",375,0,8,375,0.0213333333333333333333333333333333333333333333333333333333333,0.0108487094236157842057559484295219589930791983704027671132079,0.0415253334872608171450606443745542455211782366903262127033415
90,Down,"[4,8)",>=2,179,1,4,178,0.0224719101123595505617977528089887640449438202247191011235955,0.0087727741610623956807077018489728503519869414750401042578943,0.0563469125016500247559226578153541979263406251333675007384859
90,Down,"[8,infinity)",<-2,171,3,25,168,0.148809523809523809523809523809523809523809523809523809523810,0.102871852858841003584937470536532851051686521283338573254611,0.210448688005947270584403854176022082488265565306075851096655
90,Down,"[8,infinity)","[-2,0)",200,1,2,199,0.0100502512562814070351758793969849246231155778894472361809045,0.0027604822106993072745555154768495117389695153832021417734899,0.0358975853573600590548110618903772370279773852443343877982225
90,Down,"[8,infinity)","[0,2)",260,2,7,258,0.0271317829457364341085271317829457364341085271317829457364341,0.0132035212523351714709933238541142239337875729505708353639438,0.0549348816615889408610896207675807069059358681117444886960346
90,Down,"[8,infinity)",>=2,292,2,2,290,0.00689655172413793103448275862068965517241379310344827586206897,0.0018933251332506322799406551680913419554215874746385859261878,0.0247926940968644927014775886422467255877480871910043527938478
60,Up,"[0,1)",<-2,65,0,62,65,0.953846153846153846153846153846153846153846153846153846153846,0.872861527366611713569734505198131997447136215885483765442779,0.984180159586487429208465000198664698565319918021795432737341
60,Up,"[0,1)","[-2,0)",230,0,103,230,0.447826086956521739130434782608695652173913043478260869565217,0.384942126664717614646732446924945760970529169409338718220419,0.512424233770098118593003741386781966585624455222398491766195
60,Up,"[0,1)","[0,2)",241,1,35,240,0.145833333333333333333333333333333333333333333333333333333333,0.106763845283819519251580713820857549094639716808349190862319,0.196061848008117972529415354744433674494588114743912197343555
60,Up,"[0,1)",>=2,40,0,1,40,0.025,0.0044268315026814024331593102211685406100739576634491517407483,0.128813689634740900470668942621064723090364463171793286366078
60,Up,"[1,2)",<-2,46,1,35,45,0.777777777777777777777777777777777777777777777777777777777778,0.637307078252437099194886127006377545127740733652211479456019,0.874553144673736034402433622112378541949944703225543608701249
60,Up,"[1,2)","[-2,0)",174,0,48,174,0.275862068965517241379310344827586206896551724137931034482759,0.214837045796024369502692495818650541338266472045899621193835,0.346570060751373655870590462666283560257085007298146873292937
60,Up,"[1,2)","[0,2)",187,0,11,187,0.0588235294117647058823529411764705882352941176470588235294118,0.0331601948481803574364792502937917267476704678420022642213433,0.102247797630925420117996587725553762647116736487889331697448
60,Up,"[1,2)",>=2,42,0,3,42,0.0714285714285714285714285714285714285714285714285714285714286,0.0245904098733059343140335307644074611418046004987065930671413,0.190094268011583136184900067500718349276258564112729957498251
60,Up,"[2,4)",<-2,85,1,52,84,0.619047619047619047619047619047619047619047619047619047619048,0.512154414260923186363442150404715586600634239875621662071851,0.715528507545110175502629865921860227781149222291575533820539
60,Up,"[2,4)","[-2,0)",226,0,25,226,0.110619469026548672566371681415929203539823008849557522123894,0.0760582315987001483805948481105426498922773251502222320840026,0.158196541656534809549040261632632810444389177952012270910721
60,Up,"[2,4)","[0,2)",319,0,14,319,0.0438871473354231974921630094043887147335423197492163009404389,0.0263199214350932875361257656451583562098423798291072064146684,0.0723088573376443381778165175579618888401115488859555530647328
60,Up,"[2,4)",>=2,100,0,1,100,0.01,0.0017674320641406482060589365385531435749750717224345878716785,0.0544861961787053143796015954749528360479052889104072586302831
60,Up,"[4,8)",<-2,123,0,38,123,0.308943089430894308943089430894308943089430894308943089430894,0.234110768941689648206460505369521862626641641768546023456761,0.395347923531721325750524607082318333589152198522861686051571
60,Up,"[4,8)","[-2,0)",258,1,5,257,0.0194552529182879377431906614785992217898832684824902723735409,0.0083380489366706551501118337825712817947644667094201488815677,0.0447265937902699545057123568259506785348849596539854813891799
60,Up,"[4,8)","[0,2)",322,0,4,322,0.0124223602484472049689440993788819875776397515527950310559006,0.0048411295085742257679455529147720357964485741467779917697401,0.0315000373384914502848972519051677734663617909609719760707153
60,Up,"[4,8)",>=2,194,1,2,193,0.0103626943005181347150259067357512953367875647668393782383420,0.0028464399244945735483209104578893746034442530031141127846537,0.0369899790274551221241172903314137433882549492798813881641057
60,Up,"[8,infinity)",<-2,204,0,6,204,0.0294117647058823529411764705882352941176470588235294117647059,0.0135479462672958570323746585183494842716010101656813795176174,0.0626710088467588007092084040615508286206640058507980130577232
60,Up,"[8,infinity)","[-2,0)",220,4,1,216,0.00462962962962962962962962962962962962962962962962962962962963,0.0008177113226299474232257455672087778055082362550473307044855,0.0257535225657809886431141004972109951540567950948065795961555
60,Up,"[8,infinity)","[0,2)",306,1,0,305,0,0,0.0124382873833152790456539067517257593645937123922242031881662
60,Up,"[8,infinity)",>=2,335,1,0,334,0,1E-62,0.0113705962379618415703148773504822465017963519041878814749056
60,Down,"[0,1)",<-2,54,0,44,54,0.814814814814814814814814814814814814814814814814814814814815,0.691640522178475136550085898546918362051881458799519457067983,0.896173144579108620704063202939701820132891906786632489102421
60,Down,"[0,1)","[-2,0)",221,0,116,221,0.524886877828054298642533936651583710407239819004524886877828,0.459186140081003958755215886980246420135862450433269847245878,0.589737221552102354453004637684571986454405188694560848054674
60,Down,"[0,1)","[0,2)",218,1,22,217,0.101382488479262672811059907834101382488479262672811059907834,0.0679083679718218203142789565089012781919153816188090889917159,0.148724229350122255611461121892924624819423506898738378996218
60,Down,"[0,1)",>=2,51,0,5,51,0.0980392156862745098039215686274509803921568627450980392156863,0.0426080731076186094292523908564955350037600899157855371876451,0.209782346810808617522322951673054742045206400826438578293077
60,Down,"[1,2)",<-2,54,0,45,54,0.833333333333333333333333333333333333333333333333333333333333,0.712634857702708427104029894828527666779507195272782951104674,0.909756083570027315870951506745540761416135191818436756605164
60,Down,"[1,2)","[-2,0)",173,1,49,172,0.284883720930232558139534883720930232558139534883720930232558,0.222704999425122215664058323632460796137518832662767971289473,0.356461367276498800610525190757900845586538124080708871623501
60,Down,"[1,2)","[0,2)",210,0,12,210,0.0571428571428571428571428571428571428571428571428571428571429,0.0329868538188606021046251944245025566043522517340204301467599,0.0972098768536474064846846865213548001076875986951945287174223
60,Down,"[1,2)",>=2,49,0,2,49,0.0408163265306122448979591836734693877551020408163265306122449,0.0112656333661857973558470352382384519359687055652771473618401,0.137130323060800668773194931667153682444424429453094676303776
60,Down,"[2,4)",<-2,86,0,56,86,0.651162790697674418604651162790697674418604651162790697674419,0.545935520021618252094577170105709116708326928886743699100130,0.743463164519901541627850467775912872850017494477804415204654
60,Down,"[2,4)","[-2,0)",241,1,25,240,0.104166666666666666666666666666666666666666666666666666666667,0.0715570126508621857641583510360691581195814537192265949479244,0.149248173969538540344013725595726915303673181545065544811584
60,Down,"[2,4)","[0,2)",358,0,15,358,0.0418994413407821229050279329608938547486033519553072625698324,0.0255534759484296238926095666872838924759035151029091946336212,0.0679721773335062753557440249711571329032035509238732730607306
60,Down,"[2,4)",>=2,117,3,1,114,0.00877192982456140350877192982456140350877192982456140350877193,0.0015501429397783647362365093809366074552350069672289146046191,0.0480203467601362049162199183215150474866052962730471755068133
60,Down,"[4,8)",<-2,124,0,42,124,0.338709677419354838709677419354838709677419354838709677419355,0.261373863149402186762287917324924252612821638622880735058148,0.425738593412106746408993122905914385745241019793344797750098
60,Down,"[4,8)","[-2,0)",253,1,5,252,0.0198412698412698412698412698412698412698412698412698412698413,0.0085040558590547824022856810853756953343840206000517503951094,0.0455976479245953818548685022336709407208091042041693968040468
60,Down,"[4,8)","[0,2)",393,1,3,392,0.00765306122448979591836734693877551020408163265306122448979592,0.00260607646297477040225944173014816482548506582598148836245317,0.0222560459888122963355466906628467116474716550068343463134204
60,Down,"[4,8)",>=2,161,1,0,160,0,0,0.0234461951715051901176366347595152633843440276828788110351402
60,Down,"[8,infinity)",<-2,234,1,15,233,0.0643776824034334763948497854077253218884120171673819742489270,0.0393983506888684162253143151980188141437577468367998296524500,0.103488198774224203919852419945945650587911748919714311095556
60,Down,"[8,infinity)","[-2,0)",225,3,1,222,0.00450450450450450450450450450450450450450450450450450450450450,0.0007955986955411777609649347353592881809897544287666763157643,0.0250697089906437873345231853926283012178444314881657622528529
60,Down,"[8,infinity)","[0,2)",275,1,0,274,0,0,0.0138260821009193692132300436557773345306815930489230153801809
60,Down,"[8,infinity)",>=2,273,2,0,271,0,0,0.0139769990931400312749056936854552451308194832138903351730660
30,Up,"[0,1)",<-2,41,0,38,41,0.926829268292682926829268292682926829268292682926829268292683,0.805725514622809572052884858778468377658712763745147957238398,0.974802169366090060136591846356107086188883834221477413029326
30,Up,"[0,1)","[-2,0)",225,0,82,225,0.364444444444444444444444444444444444444444444444444444444444,0.304323178793364566446369936693639077353938339367330080659572,0.429116730590381364492373902787629419698736445059546952917962
30,Up,"[0,1)","[0,2)",230,1,9,229,0.0393013100436681222707423580786026200873362445414847161572052,0.0208120120288376540170029998506067559342068164212850465427780,0.0729919820335502314054063201515945455094754244805406265810874
30,Up,"[0,1)",>=2,47,1,0,46,0,0,0.0770735630855803739782707173457028486860107581201611900926340
30,Up,"[1,2)",<-2,51,0,40,51,0.784313725490196078431372549019607843137254901960784313725490,0.653736404140025472517141291927401661535806337367935108066997,0.875060615917672342565890782868770093722241754546101493178349
30,Up,"[1,2)","[-2,0)",141,1,21,140,0.15,0.100250553165832648297273874324074963999478702972076862860370,0.218443787092756445696432166116218793289088131842017712852864
