t_sec,utc_market_start_date,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
15,2026-08-23,266,0,9,266,0.0338345864661654135338345864661654135338345864661654135338346,0.0179007443703414930228111350546142156530915387398047123622482,0.0630410757493291055301311640817537862704383706514416513269972
15,2026-08-24,271,0,20,271,0.0738007380073800738007380073800738007380073800738007380073801,0.0482796032677501944437613862584633546548941662966970575646849,0.111235846143745551772117636772312149497206574007393966143722
15,2026-08-25,275,0,13,275,0.0472727272727272727272727272727272727272727272727272727272727,0.0278315953908511457588318652112641150354932672594525595240934,0.0791878519571249695150036786568353277279008847152349995602178
15,2026-08-26,271,0,8,271,0.0295202952029520295202952029520295202952029520295202952029520,0.0150327781813468336268104730749748871989118734451988043308310,0.0571596010391354836244845523486084615404201126047718062563714
15,2026-08-27,272,0,9,272,0.0330882352941176470588235294117647058823529411764705882352941,0.0175036956418677791628019521470925773429652881792617117858610,0.0616775083514441185164922164451443556652266547535754388683606
15,2026-08-28,274,0,8,274,0.0291970802919708029197080291970802919708029197080291970802920,0.0148673738854642738527776470823411000315630230608916830840248,0.0565455063409488548224535619074054412418524915618168496462188
15,2026-08-29,268,0,9,268,0.0335820895522388059701492537313432835820895522388059701492537,0.0177664082751826354051063365743382559139405792680671339771672,0.0625799042977670665431026022609938457451305614371924315890692
15,2026-08-30,273,0,8,273,0.0293040293040293040293040293040293040293040293040293040293040,0.0149221027200865590127376422790195448466062116405842499553749,0.0567487333794483990493545494820950548090301796427371399058273
15,2026-08-31,276,0,8,276,0.0289855072463768115942028985507246376811594202898550724637681,0.0147591118373206821756439408428016525939299986728214604730201,0.0561433874003185830560436879430954968473548553663916315043389
15,2026-09-01,271,0,9,271,0.0332103321033210332103321033210332103321033210332103321033210,0.0175686426772601986947302945380134679091118619804115009205400,0.0619006590591399043036133973528358937812841869240691440934294
15,2026-09-02,263,0,7,263,0.0266159695817490494296577946768060836501901140684410646387833,0.0129513609538582758630010257122764522675586480746824318109919,0.0539102837828496385777912408051584354194690160317398540233937
15,2026-09-03,273,0,7,273,0.0256410256410256410256410256410256410256410256410256410256410,0.0124748724887617230702941862531358531112848274158443229865371,0.0519716121407307054825535867668201052965355046556741204922619
15,2026-09-04,269,0,6,269,0.0223048327137546468401486988847583643122676579925650557620818,0.0102616592302305158167153668664608645460850182934332630693637,0.0477993806467949570299265334465517950469033540007901722269047
15,2026-09-05,275,0,9,275,0.0327272727272727272727272727272727272727272727272727272727273,0.0173117041732649840886690314639604227379534803591987462545050,0.0610176049368951027602295017653630985077987166588522685433586
15,2026-09-06,275,0,8,275,0.0290909090909090909090909090909090909090909090909090909090909,0.0148130450476631172732187211193234734162703946397054083858891,0.0563437295030429624694455594503060674500713136391864703403625
15,2026-09-07,270,0,15,270,0.0555555555555555555555555555555555555555555555555555555555556,0.0339530272861832433137532097347501514020787083996334027495800,0.0896274523330581625751530878598626461281657180393123917967634
15,2026-09-08,268,0,12,268,0.0447761194029850746268656716417910447761194029850746268656716,0.0257965505039943246531787782957770191427030926919104054659961,0.0766214505672045844482731460075071120765503406364229305266507
15,2026-09-09,246,0,13,246,0.0528455284552845528455284552845528455284552845528455284552846,0.0311400003447946916984677511966229566147978154028126512540693,0.0883015805743701383829202444089572821792819367676244899948659
15,2026-09-10,267,0,7,267,0.0262172284644194756554307116104868913857677902621722846441948,0.0127564632135386583597225087958436349974452474861662756647650,0.0531177160881824728663882559814546906310317396691992919036402
15,2026-09-11,278,0,8,278,0.0287769784172661870503597122302158273381294964028776978417266,0.0146524151374634446672143116005771040052134967941996633113645,0.0557469466303776173316651979139066013100888035915296891668039
15,2026-09-12,249,0,12,249,0.0481927710843373493975903614457831325301204819277108433734940,0.0277801784489060945918315365305829426327533268600961199676530,0.0823341159019988530411872731984578555691222557295263206041428
30,2026-08-16,258,0,20,258,0.0775193798449612403100775193798449612403100775193798449612403,0.0507397264438915606860838396536714711401811130059529821555163,0.116695404028384900331924692836203508052686551549722184422661
30,2026-08-17,267,1,13,266,0.0488721804511278195488721804511278195488721804511278195488722,0.0287805388955572485213346341508580561048644330328987616042950,0.0818083192847691371750611392069174296275838663779848161594908
30,2026-08-18,258,0,10,258,0.0387596899224806201550387596899224806201550387596899224806202,0.0211874435626855038635038664317111286579286046473197799849975,0.0698655887877814581653311369287945825709819649134632000407193
30,2026-08-19,257,0,20,257,0.0778210116731517509727626459143968871595330739299610894941634,0.0509393945030764191185360679643722971232865796085602903675695,0.117137639795490837137795305971049829967943888087225222866245
30,2026-08-20,270,4,20,266,0.0751879699248120300751879699248120300751879699248120300751880,0.0491970302477695311003032194888121283653659859438013783686676,0.113274144538704482097136133756426454032689496001447324025564
30,2026-08-21,255,22,18,233,0.0772532188841201716738197424892703862660944206008583690987124,0.0494224076288453637139864682975953941037424994908111308165754,0.118797544313170627264328048073641056892015582598022789022622
30,2026-08-22,268,0,19,268,0.0708955223880597014925373134328358208955223880597014925373134,0.0458532679336597270892185345985557518044389830688601978026289,0.108065339633453998703133689129949781721906466379978602518309
30,2026-08-23,267,0,16,267,0.0599250936329588014981273408239700374531835205992509363295880,0.0372191559842595423835070614818171892467273559416765082491065,0.0951145678730703621150543208212069472066010708627144339587003
30,2026-08-24,271,0,25,271,0.0922509225092250922509225092250922509225092250922509225092251,0.0632668451123493439594954344600182306618896982505989532890968,0.132633216878735330991626920907087338245531356326042242553146
30,2026-08-25,278,0,19,278,0.0683453237410071942446043165467625899280575539568345323741007,0.0441873255719631691688272243102079572784195239700622853943594,0.104270105055066811288161639367181696445521514551216510768848
30,2026-08-26,272,0,14,272,0.0514705882352941176470588235294117647058823529411764705882353,0.0309042817448307146994708240790471944984251904733862804931644,0.0845296307526815019688275111040465521708615578557958642297888
30,2026-08-27,277,0,14,277,0.0505415162454873646209386281588447653429602888086642599277978,0.0303420481059507191908058205279758851444769142678133790812021,0.0830367206641673863838007758558974832583230775069020760302743
30,2026-08-28,275,0,13,275,0.0472727272727272727272727272727272727272727272727272727272727,0.0278315953908511457588318652112641150354932672594525595240934,0.0791878519571249695150036786568353277279008847152349995602178
30,2026-08-29,264,0,12,264,0.0454545454545454545454545454545454545454545454545454545454545,0.0261902539697325733718325355849116880021019416290611563221064,0.0777572788105922543492501006104033269095153584705367435988868
30,2026-08-30,273,0,16,273,0.0586080586080586080586080586080586080586080586080586080586081,0.0363938617214768546126431887167243536554153739834889606436052,0.0930717861383983395234043529736593759827494909942560002768222
30,2026-08-31,275,0,14,275,0.0509090909090909090909090909090909090909090909090909090909091,0.0305644684675133021298492519276306897629126277401787162481051,0.0836275134399168202502205446001627333798920129736679789078181
30,2026-09-01,269,0,17,269,0.0631970260223048327137546468401486988847583643122676579925651,0.0398279955208614181296490196424198789694541983602872447449779,0.0988659514484031192982141965971053156000098774729520832496645
30,2026-09-02,263,0,15,263,0.0570342205323193916349809885931558935361216730038022813688213,0.0348646616050468699512754851984372089080704710361900032791206,0.0919576806586195720756506115829376056745698732882935011361880
30,2026-09-03,272,0,14,272,0.0514705882352941176470588235294117647058823529411764705882353,0.0309042817448307146994708240790471944984251904733862804931644,0.0845296307526815019688275111040465521708615578557958642297888
30,2026-09-04,266,0,10,266,0.0375939849624060150375939849624060150375939849624060150375940,0.0205462824216365619631224883079208527387020433417950733077354,0.0678072972131979833756831793837990201370574635543605939001450
30,2026-09-05,275,0,19,275,0.0690909090909090909090909090909090909090909090909090909090909,0.0446742552796650202710823482766190656786175531776441558965460,0.105380399425035137640158711549644259361239531231998219617437
30,2026-09-06,270,0,17,270,0.0629629629629629629629629629629629629629629629629629629629630,0.0396790886517153536953161225818045801260215167259641055669469,0.0985083829738720287621084033862313374453855026056659257369575
30,2026-09-07,272,0,31,272,0.113970588235294117647058823529411764705882352941176470588235,0.0814625302847210442841325874676368641839637203566928846508069,0.157230591127072256946779914124370048933045366320062239905831
30,2026-09-08,264,0,24,264,0.0909090909090909090909090909090909090909090909090909090909091,0.0618516407457934678901186971986060986912600797578946936465102,0.131701138756498877058855675377177414729195490331743416282384
30,2026-09-09,244,0,22,244,0.0901639344262295081967213114754098360655737704918032786885246,0.0602966824023408295604694620097672954278462123773980506945086,0.132735827365550700224787707647326316276842152238744395388684
30,2026-09-10,266,0,13,266,0.0488721804511278195488721804511278195488721804511278195488722,0.0287805388955572485213346341508580561048644330328987616042950,0.0818083192847691371750611392069174296275838663779848161594908
30,2026-09-11,277,0,17,277,0.0613718411552346570397111913357400722021660649819494584837545,0.0386671263092526110406005048991324988524565565525954534082340,0.0960760094784530100623288241019969329623241583118858943511588
30,2026-09-12,248,0,16,248,0.0645161290322580645161290322580645161290322580645161290322581,0.0400986672302772441535118739945209292809179093789859488018817,0.102218880438522186692907084678138650507111590968884403044367
60,2026-08-16,254,0,42,254,0.165354330708661417322834645669291338582677165354330708661417,0.124721668534797687227605829218377120579218778147296640016226,0.215958450257813053539144173293280478721413218593960948163296
60,2026-08-17,270,1,28,269,0.104089219330855018587360594795539033457249070631970260223048,0.0730021884129568577254715830739760494492469332539913666313403,0.146324665648546744283612949092061680096692846118263854061674
60,2026-08-18,260,0,23,260,0.0884615384615384615384615384615384615384615384615384615384615,0.0596692045202183876794966339011941827619345222477002263017589,0.129237645235210811252343436098217484268156535314449715233064
60,2026-08-19,260,0,32,260,0.123076923076923076923076923076923076923076923076923076923077,0.0885456565390448008706952170943348973333738094070518619177259,0.168583981554712783197719052624752423871756318079777056497344
