t_sec,utc_market_start_date,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
90,2026-08-27,"[8,infinity)",<-2,16,0,1,16,0.0625,0.011119344764642533342375492137967463627461582798491024199936,0.283287375702989390505107159387803254014116936798528156516316
90,2026-08-27,"[8,infinity)","[-2,0)",16,0,0,16,0,0,0.193607680534436484397123030315166534447518308110879063675717
90,2026-08-27,"[8,infinity)","[0,2)",26,0,0,26,0,0,0.128728921859215295149407654933370962769244819176962274963284
90,2026-08-27,"[8,infinity)",>=2,26,0,0,26,0,0,0.128728921859215295149407654933370962769244819176962274963284
90,2026-08-28,"[0,1)",<-2,3,0,3,3,1,0.438502968244954533215461236605189053316202030549110725862112,1
90,2026-08-28,"[0,1)","[-2,0)",9,0,5,9,0.555555555555555555555555555555555555555555555555555555555556,0.266651293495493043059615993877244882026140673164104999584969,0.811221478902335396118006603400764841034398238993772151347717
90,2026-08-28,"[0,1)","[0,2)",14,0,7,14,0.5,0.267992024524136346717374766445350250952205185470645542577707,0.732007975475863653282625233554649749047794814529354457422291
90,2026-08-28,"[0,1)",>=2,4,0,1,4,0.25,0.045587260809700566421210903550181973719959137374694927176083,0.699358157417598084435057391376053549510099795959932137549015
90,2026-08-28,"[1,2)",<-2,6,0,6,6,1,0.609665712097834675101292944857762391814374326263201714759228,1
90,2026-08-28,"[1,2)","[-2,0)",8,0,2,8,0.25,0.071479212752109018118065833441354725591654990944167339215003,0.590724569689831088327074305130906171527542794250935562793281
90,2026-08-28,"[1,2)","[0,2)",12,0,1,12,0.0833333333333333333333333333333333333333333333333333333333333,0.014865094404917114752602291403112818736709754550808213613698,0.353879911141116927533678326002990052081097430266471836347478
90,2026-08-28,"[1,2)",>=2,2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810
90,2026-08-28,"[2,4)",<-2,8,0,4,8,0.5,0.215216062213877565705923948256803315914944444494181065997357,0.784783937786122434294076051743196684085055555505818934002643
90,2026-08-28,"[2,4)","[-2,0)",13,0,3,13,0.230769230769230769230769230769230769230769230769230769230769,0.081795287184985631736579088284239642563328711695549236007848,0.502563759467275029809877857607205785504602998313733786357190
90,2026-08-28,"[2,4)","[0,2)",22,0,3,22,0.136363636363636363636363636363636363636363636363636363636364,0.047490037140552535789798900094415495959800057247582919467239,0.333349871665717191673131755267916108571847594875751010615389
90,2026-08-28,"[2,4)",>=2,12,0,1,12,0.0833333333333333333333333333333333333333333333333333333333333,0.014865094404917114752602291403112818736709754550808213613698,0.353879911141116927533678326002990052081097430266471836347478
90,2026-08-28,"[4,8)",<-2,7,0,0,7,0,0,0.354330435066687400786206839933794738607089448605187126348296
90,2026-08-28,"[4,8)","[-2,0)",15,0,4,15,0.266666666666666666666666666666666666666666666666666666666667,0.108974533256923727565232658603039436468557973850178938979251,0.519504340559805613924286986412361892113901959605876027178425
90,2026-08-28,"[4,8)","[0,2)",24,0,2,24,0.0833333333333333333333333333333333333333333333333333333333333,0.023158815297043336041234637343711646272452416356485321686888,0.258488021932106817892339518648915398201474704124709909334440
90,2026-08-28,"[4,8)",>=2,15,0,1,15,0.0666666666666666666666666666666666666666666666666666666666667,0.011866895493268551900400658175721432353582667454859885236678,0.298165298737800225151564396852881035013842923249242194770432
90,2026-08-28,"[8,infinity)",<-2,19,0,2,19,0.105263157894736842105263157894736842105263157894736842105263,0.029358560298870137791490101209690328416178648443629948669908,0.313940827111090060879334310499283241418403973740958019533294
90,2026-08-28,"[8,infinity)","[-2,0)",13,0,0,13,0,1E-60,0.228095372354198371443420042369827223554730318588668470106495
90,2026-08-28,"[8,infinity)","[0,2)",33,0,1,33,0.0303030303030303030303030303030303030303030303030303030303030,0.0053694105368718386780184471254747799251251396944882137041268,0.153187253821189183534933518115260948665871443619598486211676
90,2026-08-28,"[8,infinity)",>=2,34,0,0,34,0,0,0.101514554153323765588772493480518861287464008360250122371569
90,2026-08-29,"[0,1)",<-2,5,0,5,5,1,0.565517535216825238915217128474443728190978101116435857204674,1
90,2026-08-29,"[0,1)","[-2,0)",25,0,13,25,0.52,0.334985169503567761848152037822318865945993615251003367437148,0.699687140458870299099749911137045239822217543591362558070596
90,2026-08-29,"[0,1)","[0,2)",24,0,4,24,0.166666666666666666666666666666666666666666666666666666666667,0.066786763286329513647649829844765722752653150016095215726744,0.358530706496990609499209494949335912826488546368860969090318
90,2026-08-29,"[0,1)",>=2,5,0,1,5,0.2,0.036224108632430171022883644562917213075316655041469013721231,0.624465370237474685627986078352416550010096484288669471955965
90,2026-08-29,"[1,2)",<-2,3,0,3,3,1,0.438502968244954533215461236605189053316202030549110725862112,1
90,2026-08-29,"[1,2)","[-2,0)",21,0,4,21,0.190476190476190476190476190476190476190476190476190476190476,0.076675650527617916116719757819186510335372431410581805767678,0.400005646902049244340388827183058608607428050054791727028218
90,2026-08-29,"[1,2)","[0,2)",31,0,2,31,0.0645161290322580645161290322580645161290322580645161290322581,0.0178747835219145770963837259671189739186711542154245286916251,0.207186367362981248165716190560754730772129287793662913780871
90,2026-08-29,"[1,2)",>=2,5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326
90,2026-08-29,"[2,4)",<-2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
90,2026-08-29,"[2,4)","[-2,0)",27,0,4,27,0.148148148148148148148148148148148148148148148148148148148148,0.059159277762443300757095842292483488206447731088741631495683,0.324786854278129818045017235234935749726930659258221717062511
90,2026-08-29,"[2,4)","[0,2)",44,0,1,44,0.0227272727272727272727272727272727272727272727272727272727273,0.0040232520600532272640496250032191889689225510886580212712172,0.118077096982132859779159459016592675688232340859346269573419
90,2026-08-29,"[2,4)",>=2,7,0,0,7,0,0,0.354330435066687400786206839933794738607089448605187126348296
90,2026-08-29,"[4,8)",<-2,4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196
90,2026-08-29,"[4,8)","[-2,0)",15,0,0,15,0,0,0.203883301035848588906113525033002846962414143120117784623588
90,2026-08-29,"[4,8)","[0,2)",32,0,0,32,0,0,0.107179198255070614069630916316154767610741869081416234881527
90,2026-08-29,"[4,8)",>=2,4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196
90,2026-08-29,"[8,infinity)",<-2,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644
90,2026-08-29,"[8,infinity)","[-2,0)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196
90,2026-08-29,"[8,infinity)","[0,2)",6,0,0,6,0,0,0.390334287902165324898707055142237608185625673736798285240772
90,2026-08-29,"[8,infinity)",>=2,2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810
90,2026-08-30,"[0,1)",<-2,5,0,3,5,0.6,0.230724281276012960514584397140024627212918715729512090080818,0.882379225767352087268459028554864118425276904493775081360116
90,2026-08-30,"[0,1)","[-2,0)",17,0,11,17,0.647058823529411764705882352941176470588235294117647058823529,0.413003634852186893540273438356993900357653369461969652747765,0.826902796027562575947180461000805312627937252490666032856271
90,2026-08-30,"[0,1)","[0,2)",19,0,3,19,0.157894736842105263157894736842105263157894736842105263157895,0.055204716385341409053692396938765178205972216622661334906490,0.375654752703290763127688759875678582317332722603981570869620
90,2026-08-30,"[0,1)",>=2,3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888
90,2026-08-30,"[1,2)",<-2,2,0,1,2,0.5,0.094531205734230729793326600900495328768115141516490687279156,0.905468794265769270206673399099504671231884858483509312720844
90,2026-08-30,"[1,2)","[-2,0)",21,0,5,21,0.238095238095238095238095238095238095238095238095238095238095,0.106280130226364683456087534113405629962700321681912260294343,0.450911736829507529238388960888494086065823162634942267456031
90,2026-08-30,"[1,2)","[0,2)",31,0,8,31,0.258064516129032258064516129032258064516129032258064516129032,0.137017059063937458830402460190721918686029112340602655589487,0.432461358094337999648541937880319028364415577664445923561899
90,2026-08-30,"[1,2)",>=2,3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888
90,2026-08-30,"[2,4)",<-2,0,0,0,0,,,
90,2026-08-30,"[2,4)","[-2,0)",17,0,2,17,0.117647058823529411764705882352941176470588235294117647058824,0.032879773763792665310938704743317837134545250753179513892103,0.343363505948858714021681156926404209102919132169967703537399
90,2026-08-30,"[2,4)","[0,2)",34,0,1,34,0.0294117647058823529411764705882352941176470588235294117647059,0.0052109062762689467848135449595330974406244776182452421405567,0.149155732926859303181089978316249360241694589073754873032685
90,2026-08-30,"[2,4)",>=2,6,0,1,6,0.166666666666666666666666666666666666666666666666666666666667,0.030053369748306669995961946390895487521438424174221601471187,0.563502822186470213269842757037262917935645358316977255355995
90,2026-08-30,"[4,8)",<-2,5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326
90,2026-08-30,"[4,8)","[-2,0)",28,0,2,28,0.0714285714285714285714285714285714285714285714285714285714286,0.019812064115305731944951343318032581634806896862641796101400,0.226453625683990525755237388486565301958599189338364805118338
90,2026-08-30,"[4,8)","[0,2)",28,0,2,28,0.0714285714285714285714285714285714285714285714285714285714286,0.019812064115305731944951343318032581634806896862641796101400,0.226453625683990525755237388486565301958599189338364805118338
90,2026-08-30,"[4,8)",>=2,10,0,0,10,0,0,0.277532799862889204526030927043294338473666863904268179277910
90,2026-08-30,"[8,infinity)",<-2,9,0,1,9,0.111111111111111111111111111111111111111111111111111111111111,0.019890887638544909123336039549747145430433888416815277180683,0.434999705576656016633305779504184793145793726478044666290525
90,2026-08-30,"[8,infinity)","[-2,0)",11,0,0,11,0,0,0.258832966968031690622885270690496860752291234813264358589584
