t_sec,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
30,"[4,8)",<-2,250,3,17,247,0.0688259109311740890688259109311740890688259109311740890688259,0.0434122070847275367442011539454202495093022646630139132958185,0.107445864777084842547607427781436908051297702921342333523541
30,"[4,8)","[-2,0)",565,2,1,563,0.00177619893428063943161634103019538188277087033747779751332149,0.00031361156571686111284318927421069374795161517928461882863920,0.00999166644420005628300735068719167432505579972403777343000056
30,"[4,8)","[0,2)",696,2,0,694,0,0,0.00550477299985291239961080242766467864892041864368150515196030
30,"[4,8)",>=2,301,0,0,301,0,0,0.0126014973014338168963529029229615681905503386503574292770292
30,"[8,infinity)",<-2,465,1,1,464,0.00215517241379310344827586206896551724137931034482758620689655,0.00038054220939085268816053270633763412416831765221650131907749,0.0121054371978615825807983431164710655176195783838303197595658
30,"[8,infinity)","[-2,0)",465,3,0,462,0,0,0.00824627938959965213460946291270942946530516397976934584405500
30,"[8,infinity)","[0,2)",659,1,0,658,0,0,0.00580419792307820931204129462371734820578359888999792096952729
30,"[8,infinity)",>=2,638,8,0,630,0,0,0.00606059885675737411166086410883943469107993581116976443242717
15,"[0,1)",<-2,91,0,83,91,0.912087912087912087912087912087912087912087912087912087912088,0.836013611163622587296311173567742874594533315137707670319068,0.954779792191695924885994361378523071297612634388830134965496
15,"[0,1)","[-2,0)",420,0,132,420,0.314285714285714285714285714285714285714285714285714285714286,0.271741154149207127918884828609237156794796023988715024421781,0.360196692530403074058620173391816310372376129916820463330943
15,"[0,1)","[0,2)",449,0,9,449,0.0200445434298440979955456570155902004454342984409799554565702,0.0105806280435535337247137344971714911726466524663262553184483,0.0376513931092234910247916365189162187996169626764308380273229
15,"[0,1)",>=2,76,1,0,75,0,0,0.0487238424828058578057558740910260828590172798392949508123418
15,"[1,2)",<-2,85,0,33,85,0.388235294117647058823529411764705882352941176470588235294118,0.291612996946894149613290847919316995964667671828332639741108,0.494522887670364417332440063664373577136189796752575055157482
15,"[1,2)","[-2,0)",303,0,4,303,0.0132013201320132013201320132013201320132013201320132013201320,0.0051453895493054854898235947662095582252531167931496591904235,0.0334460669839975969824667606201682425573045220972148456484885
15,"[1,2)","[0,2)",376,1,1,375,0.00266666666666666666666666666666666666666666666666666666666667,0.00047088734527332777593071310708575483278652312686758290058696,0.0149483828657488791985946047645588810552859651117171231483629
15,"[1,2)",>=2,96,1,0,95,0,1E-61,0.0388648535394729614867276295781033935607497988908014013830293
15,"[2,4)",<-2,151,1,17,150,0.113333333333333333333333333333333333333333333333333333333333,0.0719742391403741030328409425145554989155082678960641519943630,0.174002749837605131193250646877677427628431410433406780156187
15,"[2,4)","[-2,0)",513,0,2,513,0.00389863547758284600389863547758284600389863547758284600389864,0.00106979835316267510281582251558895554233537607471844106004002,0.0141020859584914583294036340734878197454028101623653392950365
15,"[2,4)","[0,2)",608,0,0,608,0,1E-62,0.00627851997492687162396207831900579578620643167108275258240337
15,"[2,4)",>=2,178,1,0,177,0,0,0.0212421357676779458800327214502046544369144095470018181246356
15,"[4,8)",<-2,214,2,1,212,0.00471698113207547169811320754716981132075471698113207547169811,0.0008331488458669798780941037941044011253550740231438833684785,0.0262305063601831117847431062245737840724443665803197095480193
15,"[4,8)","[-2,0)",614,2,0,612,0,0,0.00623773986904085397106011433681542773640990484423974383591770
15,"[4,8)","[0,2)",720,1,0,719,0,1E-62,0.00531438640357100178327718251882644532224487384414483799535763
15,"[4,8)",>=2,304,4,0,300,0,0,0.0126429712245460355451193813208078190838578067162069956520465
15,"[8,infinity)",<-2,440,0,0,440,0,0,0.00865502477146016642084643407249873915018166376729154741777755
15,"[8,infinity)","[-2,0)",516,4,0,512,0,0,0.00744697572288273853722103619490790756640530300098103097471736
15,"[8,infinity)","[0,2)",689,5,0,684,0,0,0.00558480267717551605981209066390714031967328056674338396997736
15,"[8,infinity)",>=2,646,4,0,642,0,0,0.00594799043670659530183294350278411793319607677931603445448048
10,"[0,1)",<-2,93,0,79,93,0.849462365591397849462365591397849462365591397849462365591398,0.763041902802112055449188642070489122600479468755925917373863,0.908158229781083815746557197444604484717045098389322588366495
10,"[0,1)","[-2,0)",390,0,88,390,0.225641025641025641025641025641025641025641025641025641025641,0.186947779737064295174900064545105123749045211996941250203611,0.269686367818669065038565778392382747943836940859513067741525
10,"[0,1)","[0,2)",447,1,4,446,0.00896860986547085201793721973094170403587443946188340807174888,0.00349308753852682035741103570259250512643570604822176389719508,0.0228305395716504699629136949081553731747710755088642640133257
10,"[0,1)",>=2,75,0,1,75,0.0133333333333333333333333333333333333333333333333333333333333,0.0023575511390486614726182927661293335657927855646802571379486,0.0717336555442157067916507580158027204169840334789001616527306
10,"[1,2)",<-2,76,0,17,76,0.223684210526315789473684210526315789473684210526315789473684,0.144611828222261495978279047971871519208276100296926398860523,0.329345679313735442905774321983961747508899084969861085879435
10,"[1,2)","[-2,0)",315,0,2,315,0.00634920634920634920634920634920634920634920634920634920634921,0.0017429117309909872366879771357760065809776175212278842959910,0.0228506867605524281733607765016658409208337955156697991478358
10,"[1,2)","[0,2)",378,0,1,378,0.00264550264550264550264550264550264550264550264550264550264550,0.00046714892134721620989615158995545907887397322634029255053641,0.0148309772662472244883614620114550254008278674122178054163268
10,"[1,2)",>=2,84,1,0,83,0,1E-61,0.0442353096419738403383844233759625755395690083553910862604569
10,"[2,4)",<-2,149,2,2,147,0.0136054421768707482993197278911564625850340136054421768707483,0.0037390672782065773782540496849311695693677678623069227392712,0.0482457045610481730985963311555467364354059837162858562068818
10,"[2,4)","[-2,0)",509,0,0,509,0,0,0.00749053875154275044663584542907225132579844477884859144379205
